"Crop","site_ID","Sample.site","replicate","pH","EC","OM","P2O5","NO3.N","K","Ca","Mg","Na"
"kale","EK1","control","rep3",6.8,4.76,39.2,906,54.13,0.22,14.64,4.91,0.13
"kale","EK1","treatment","rep1",6.7,8.03,43.8,936,268,0.27,21.16,5.6,0.83
"kale","EK1","treatment","rep2",6.4,7.23,43.2,861,343,0.23,18.69,5.13,0.74
"kale","EK1","treatment","rep3",6.5,8.4,40.9,850,323,0.27,20.64,5.65,0.65
"kale","EK2","control","rep1",7.4,1.5,21.6,1467,42,0.88,8.23,3.06,0.24
"kale","EK2","control","rep2",7.2,2.26,20.9,1382,69.7,0.44,9.4,3.18,0.32
"kale","EK2","control","rep3",7.1,3.26,20.3,1312,151,0.78,9.04,3.08,0.36
"kale","EK2","treatment","rep1",7.1,5.35,33.2,1433,285,2.21,16.35,6.14,0.56
"kale","EK2","treatment","rep2",7.1,4.48,32,1225,296,1.66,14.81,5.63,0.51
"kale","EK2","treatment","rep3",6.9,7.4,31.3,1419,475,2.91,13.92,5.57,0.66
"kale","EK3","control","rep1",7.1,2.16,12.4,837,85.2,0.22,8.19,1.86,0.24
"kale","EK3","control","rep2",7,3.61,11,860,158,0.17,9.72,2.49,0.32
"kale","EK3","control","rep3",7,4.73,11,795,266,0.14,11.22,3.17,0.39
"kale","EK3","treatment","rep1",7.3,2.81,35.5,1425,193,2.01,12.31,5.53,0.36
"kale","EK3","treatment","rep2",7.2,3.15,31.4,1315,219,2.11,12.12,5.12,0.39
"kale","EK3","treatment","rep3",7.2,2.52,27.3,1214,161,2.12,11.04,4.46,0.34
"kale","EK4","control","rep1",6.3,9.81,64.6,1452,725,2.69,17,4.73,0.82
"kale","EK4","control","rep2",6.4,7.93,61.9,1409,701,2.39,17.08,4.79,0.79
"kale","EK4","control","rep3",6.7,5.37,61.4,1409,271,2.14,14.9,3.49,0.49
"kale","EK4","treatment","rep1",6.6,5.76,49.7,1307,284,1.74,13.5,3.08,0.61
"kale","EK4","treatment","rep2",6.4,5.92,52.8,1307,381,1.73,13.62,3.49,0.74
"kale","EK4","treatment","rep3",6.5,5.39,51.3,1314,264,1.62,13.15,3.12,0.62
"red lettuce","EL1","control","rep1",6.3,5.79,52.9,1092,379,2.29,12.11,3.93,0.65
"red lettuce","EL1","control","rep2",6.4,3.18,52.8,1085,222,1.87,11.04,3.35,0.46
"red lettuce","EL1","control","rep3",6.4,3.82,48.6,1061,233,1.81,11.46,3.61,0.49
"red lettuce","EL1","treatment","rep1",6.5,3.28,52.3,1103,210,1.99,11.76,3.63,0.49
"red lettuce","EL1","treatment","rep2",6.5,3.16,51.3,1107,192,1.9,11.65,3.48,0.43
"red lettuce","EL1","treatment","rep3",6.5,3.89,54.6,1103,269,2.01,12.44,3.82,0.5
"green lettuce","EL10","control","rep1",7.3,3.35,38.9,909,85.8,2.27,11.74,3.61,0.4
"green lettuce","EL10","control","rep2",7.3,3.01,39.6,827,92,2.1,11.37,3.38,0.38
"green lettuce","EL10","control","rep3",7.3,1.99,38,829,42.1,1.86,11.46,3.02,0.25
"green lettuce","EL10","treatment","rep1",7.4,3.27,46.4,1179,64.3,3.15,12.04,3.76,0.44
"green lettuce","EL10","treatment","rep2",7.2,4.38,44.7,984,152,2.58,12.32,3.67,0.45
"green lettuce","EL10","treatment","rep3",7.3,3.58,45.3,1098,153,2.9,11.86,3.54,0.46
"green lettuce","EL11","control","rep1",6.7,5.13,56.1,1992,276,3.69,14.46,5.44,0.61
"green lettuce","EL11","control","rep2",6.9,3.87,56,2154,168,3.78,13.42,5.34,0.9
"green lettuce","EL11","control","rep3",6.8,3.85,60.1,2222,166,3.59,12.63,5.08,0.52
"green lettuce","EL11","treatment","rep1",6.8,4.72,55.6,2081,233,3.56,14.42,5.38,0.58
"green lettuce","EL11","treatment","rep2",6.8,4.78,50.8,1872,252,3.16,13.05,4.94,0.58
"green lettuce","EL11","treatment","rep3",7.1,2.11,54,1958,48.3,2.43,12.13,4.05,0.33
"romain","EL3","control","rep1",7.1,1.92,46.4,1058,79.3,1.09,12.04,5.37,0.44
"romain","EL3","control","rep2",7,2.52,44.6,1083,131,1.09,11.92,5.4,0.47
"romain","EL3","control","rep3",6.9,3.06,48.3,1096,151,1.1,12.16,5.54,0.51
"romain","EL3","treatment","rep1",7.1,1.66,52,1201,72.6,1.61,11.98,4.58,0.4
"romain","EL3","treatment","rep2",7,2.43,56.3,1172,115,1.51,12.06,4.71,0.44
"romain","EL3","treatment","rep3",7,2.31,51.1,1142,102,1.07,12.6,5.24,0.45
"green lettuce","EL4","control","rep1",7.2,1.62,66,1420,39.8,1.42,11.49,3.85,0.34
"green lettuce","EL4","control","rep2",7.2,1.82,68.2,1436,43.6,1.45,12.51,4.34,0.4
"green lettuce","EL4","control","rep3",7.4,1.22,58.5,1391,25.1,1.3,11.08,3.81,0.32
"green lettuce","EL4","treatment","rep1",7.4,1.16,62.7,1431,23.5,1.1,12.36,4.11,0.27
"green lettuce","EL4","treatment","rep2",7.2,1.73,68.2,1460,36.5,1.42,12.33,4.26,0.38
"green lettuce","EL4","treatment","rep3",7.4,0.98,57.3,1366,16.6,1.07,12.07,3.82,0.25
"red lettuce","EL5","control","rep1",7.5,5.9,44.9,1395,46.9,1.24,15.73,6.34,1.5
"red lettuce","EL5","control","rep2",7.5,5.6,44.2,1420,87.2,1.05,15.12,5.89,1.2
"red lettuce","EL5","control","rep3",7.2,6.2,49.6,1407,204,1.09,17.39,7.05,1.29
"red lettuce","EL5","treatment","rep1",7.4,7.65,41.3,1383,188,1.39,15.57,6.52,1.61
"red lettuce","EL5","treatment","rep2",7.3,5.96,46.2,1420,179,1.32,15.3,5.98,1.16
"red lettuce","EL5","treatment","rep3",7.3,6.46,47.5,1420,180,1.36,15.74,6.27,1.23
"green lettuce","EL6","control","rep1",7.3,1.1,29.2,1066,27.3,0.92,8.62,2.1,0.21
"green lettuce","EL6","control","rep2",7.4,1.59,30.7,1046,39.9,0.8,9.19,2.36,0.28
"green lettuce","EL6","control","rep3",7.3,1.27,29.2,1033,38.9,0.81,8.33,2.14,0.23
"green lettuce","EL6","treatment","rep1",6.9,6.11,37.8,1087,413,1.77,11.49,3.9,0.76
"green lettuce","EL6","treatment","rep2",7,5.01,38.8,1091,247,1.51,12.36,3.97,0.71
"green lettuce","EL6","treatment","rep3",6.9,7.45,38.9,1093,446,2.05,13,4.37,0.9
"red lettuce","EL7","control","rep1",6.6,0.78,9,297,13.2,0.42,3.58,1.1,0.23
"red lettuce","EL7","control","rep2",6.7,1.7,8.7,264,48,0.37,4.52,1.48,0.43
"red lettuce","EL7","control","rep3",6.5,2.46,7.9,219,82.4,0.27,4.81,1.61,0.55
"red lettuce","EL7","treatment","rep1",6.1,1.63,10.3,230,76.7,0.18,4.5,1.23,0.4
